date,candidate,venue,win,qual
2026-01-21,Nicolas Dupont-Aignan,polymarket,0.1,
2026-01-21,Sarah Knafo,polymarket,5.8,
2026-01-21,Sébastien Lecornu,polymarket,3.8,
2026-01-22,Marine Le Pen,polymarket,14.0,
2026-01-22,Jordan Bardella,polymarket,25.0,
2026-01-22,Éric Zemmour,polymarket,1.1,
2026-01-22,Édouard Philippe,polymarket,14.0,
2026-01-22,David Lisnard,polymarket,2.7,
2026-01-22,Laurent Wauquiez,polymarket,0.6,
2026-01-22,Gabriel Attal,polymarket,3.5,
2026-01-22,Bruno Retailleau,polymarket,3.3,
2026-01-22,François Hollande,polymarket,1.6,
2026-01-22,Raphaël Glucksmann,polymarket,1.8,
2026-01-22,Jean-Luc Mélenchon,polymarket,11.5,
2026-01-22,Marine Tondelier,polymarket,0.5,
2026-01-22,Fabien Roussel,polymarket,0.1,
2026-01-22,Olivier Faure,polymarket,0.5,
2026-01-22,Dominique de Villepin,polymarket,7.6,
2026-01-22,Nicolas Dupont-Aignan,polymarket,0.1,
2026-01-22,Sarah Knafo,polymarket,6.2,
2026-01-22,Sébastien Lecornu,polymarket,4.0,
2026-01-23,Marine Le Pen,polymarket,12.0,
2026-01-23,Jordan Bardella,polymarket,27.0,
2026-01-23,Éric Zemmour,polymarket,1.0,
2026-01-23,Édouard Philippe,polymarket,13.5,
2026-01-23,David Lisnard,polymarket,3.3,
2026-01-23,Laurent Wauquiez,polymarket,0.5,
2026-01-23,Gabriel Attal,polymarket,3.5,
2026-01-23,Bruno Retailleau,polymarket,3.4,
2026-01-23,François Hollande,polymarket,1.8,
2026-01-23,Raphaël Glucksmann,polymarket,1.4,
2026-01-23,Jean-Luc Mélenchon,polymarket,11.5,
2026-01-23,Marine Tondelier,polymarket,0.5,
2026-01-23,Fabien Roussel,polymarket,0.1,
2026-01-23,Olivier Faure,polymarket,0.6,
2026-01-23,Dominique de Villepin,polymarket,7.4,
2026-01-23,Nicolas Dupont-Aignan,polymarket,0.1,
2026-01-23,Sarah Knafo,polymarket,5.9,
2026-01-23,Sébastien Lecornu,polymarket,3.9,
2026-01-24,Marine Le Pen,polymarket,11.0,
2026-01-24,Jordan Bardella,polymarket,30.5,
2026-01-24,Éric Zemmour,polymarket,0.9,
2026-01-24,Édouard Philippe,polymarket,13.0,
2026-01-24,David Lisnard,polymarket,3.0,
2026-01-24,Laurent Wauquiez,polymarket,0.6,
2026-01-24,Gabriel Attal,polymarket,4.1,
2026-01-24,Bruno Retailleau,polymarket,3.3,
2026-01-24,François Hollande,polymarket,0.9,
2026-01-24,Raphaël Glucksmann,polymarket,2.1,
2026-01-24,Jean-Luc Mélenchon,polymarket,11.0,
2026-01-24,Marine Tondelier,polymarket,0.5,
2026-01-24,Fabien Roussel,polymarket,0.1,
2026-01-24,Olivier Faure,polymarket,0.4,
2026-01-24,Dominique de Villepin,polymarket,7.8,
2026-01-24,Nicolas Dupont-Aignan,polymarket,0.1,
2026-01-24,Sarah Knafo,polymarket,5.9,
2026-01-24,Sébastien Lecornu,polymarket,3.0,
2026-01-25,Marine Le Pen,polymarket,13.0,
2026-01-25,Jordan Bardella,polymarket,25.5,
2026-01-25,Éric Zemmour,polymarket,1.1,
2026-01-25,Édouard Philippe,polymarket,13.5,
2026-01-25,David Lisnard,polymarket,2.5,
2026-01-25,Laurent Wauquiez,polymarket,0.5,
2026-01-25,Gabriel Attal,polymarket,3.8,
2026-01-25,Bruno Retailleau,polymarket,3.2,
2026-01-25,François Hollande,polymarket,1.2,
2026-01-25,Raphaël Glucksmann,polymarket,2.2,
2026-01-25,Jean-Luc Mélenchon,polymarket,11.5,
2026-01-25,Marine Tondelier,polymarket,0.5,
2026-01-25,Fabien Roussel,polymarket,0.1,
2026-01-25,Olivier Faure,polymarket,0.4,
2026-01-25,Dominique de Villepin,polymarket,7.5,
2026-01-25,Nicolas Dupont-Aignan,polymarket,0.1,
2026-01-25,Sarah Knafo,polymarket,7.3,
2026-01-25,Sébastien Lecornu,polymarket,2.2,
2026-01-26,Marine Le Pen,polymarket,11.0,
2026-01-26,Jordan Bardella,polymarket,26.0,
2026-01-26,Éric Zemmour,polymarket,1.5,
2026-01-26,Édouard Philippe,polymarket,13.0,
2026-01-26,David Lisnard,polymarket,2.9,
2026-01-26,Laurent Wauquiez,polymarket,0.5,
2026-01-26,Gabriel Attal,polymarket,3.5,
2026-01-26,Bruno Retailleau,polymarket,3.1,
2026-01-26,François Hollande,polymarket,1.8,
2026-01-26,Raphaël Glucksmann,polymarket,2.2,
2026-01-26,Jean-Luc Mélenchon,polymarket,12.5,
2026-01-26,Marine Tondelier,polymarket,0.5,
2026-01-26,Fabien Roussel,polymarket,0.1,
2026-01-26,Olivier Faure,polymarket,0.4,
2026-01-26,Dominique de Villepin,polymarket,9.3,
2026-01-26,Nicolas Dupont-Aignan,polymarket,0.1,
2026-01-26,Sarah Knafo,polymarket,6.0,
2026-01-26,Sébastien Lecornu,polymarket,2.1,
2026-01-27,Marine Le Pen,polymarket,11.0,
2026-01-27,Jordan Bardella,polymarket,27.0,
2026-01-27,Éric Zemmour,polymarket,1.6,
2026-01-27,Édouard Philippe,polymarket,13.5,
2026-01-27,David Lisnard,polymarket,2.5,
2026-01-27,Laurent Wauquiez,polymarket,0.5,
2026-01-27,Gabriel Attal,polymarket,5.4,
2026-01-27,Bruno Retailleau,polymarket,3.2,
2026-01-27,François Hollande,polymarket,2.4,
2026-01-27,Raphaël Glucksmann,polymarket,2.1,
2026-01-27,Jean-Luc Mélenchon,polymarket,12.0,
2026-01-27,Marine Tondelier,polymarket,0.5,
2026-01-27,Fabien Roussel,polymarket,0.1,
2026-01-27,Olivier Faure,polymarket,0.4,
2026-01-27,Dominique de Villepin,polymarket,7.5,
2026-01-27,Nicolas Dupont-Aignan,polymarket,0.2,
2026-01-27,Sarah Knafo,polymarket,5.0,
2026-01-27,Sébastien Lecornu,polymarket,2.3,
2026-01-28,Marine Le Pen,polymarket,10.0,
2026-01-28,Jordan Bardella,polymarket,27.5,
2026-01-28,Éric Zemmour,polymarket,1.4,
2026-01-28,Édouard Philippe,polymarket,14.5,
2026-01-28,David Lisnard,polymarket,2.6,
2026-01-28,Laurent Wauquiez,polymarket,0.7,
2026-01-28,Gabriel Attal,polymarket,4.7,
2026-01-28,Bruno Retailleau,polymarket,3.2,
2026-01-28,François Hollande,polymarket,1.5,
2026-01-28,Raphaël Glucksmann,polymarket,2.1,
2026-01-28,Jean-Luc Mélenchon,polymarket,12.0,
2026-01-28,Marine Tondelier,polymarket,0.8,
2026-01-28,Fabien Roussel,polymarket,0.1,
2026-01-28,Olivier Faure,polymarket,0.3,
2026-01-28,Dominique de Villepin,polymarket,6.8,
2026-01-28,Nicolas Dupont-Aignan,polymarket,0.1,
2026-01-28,Sarah Knafo,polymarket,4.5,
2026-01-28,Sébastien Lecornu,polymarket,2.5,
2026-01-29,Marine Le Pen,polymarket,9.0,
2026-01-29,Jordan Bardella,polymarket,27.0,
2026-01-29,Éric Zemmour,polymarket,1.5,
2026-01-29,Édouard Philippe,polymarket,16.0,
2026-01-29,David Lisnard,polymarket,4.0,
2026-01-29,Laurent Wauquiez,polymarket,0.6,
2026-01-29,Gabriel Attal,polymarket,4.5,
2026-01-29,Bruno Retailleau,polymarket,3.2,
2026-01-29,François Hollande,polymarket,2.4,
2026-01-29,Raphaël Glucksmann,polymarket,1.8,
2026-01-29,Jean-Luc Mélenchon,polymarket,12.0,
2026-01-29,Marine Tondelier,polymarket,0.8,
2026-01-29,Fabien Roussel,polymarket,0.1,
2026-01-29,Olivier Faure,polymarket,0.4,
2026-01-29,Dominique de Villepin,polymarket,6.6,
2026-01-29,Nicolas Dupont-Aignan,polymarket,0.1,
2026-01-29,Sarah Knafo,polymarket,4.2,
2026-01-29,Sébastien Lecornu,polymarket,2.5,
2026-01-30,Marine Le Pen,polymarket,11.0,
2026-01-30,Jordan Bardella,polymarket,24.5,
2026-01-30,Éric Zemmour,polymarket,1.4,
2026-01-30,Édouard Philippe,polymarket,15.0,
2026-01-30,David Lisnard,polymarket,3.5,
2026-01-30,Laurent Wauquiez,polymarket,0.5,
2026-01-30,Gabriel Attal,polymarket,5.9,
2026-01-30,Bruno Retailleau,polymarket,2.9,
2026-01-30,François Hollande,polymarket,1.9,
2026-01-30,Raphaël Glucksmann,polymarket,1.7,
2026-01-30,Jean-Luc Mélenchon,polymarket,12.0,
2026-01-30,Marine Tondelier,polymarket,1.1,
2026-01-30,Fabien Roussel,polymarket,0.1,
2026-01-30,Olivier Faure,polymarket,0.4,
2026-01-30,Dominique de Villepin,polymarket,6.8,
2026-01-30,Nicolas Dupont-Aignan,polymarket,0.1,
2026-01-30,Sarah Knafo,polymarket,3.5,
2026-01-30,Sébastien Lecornu,polymarket,2.1,
2026-01-31,Marine Le Pen,polymarket,9.0,
2026-01-31,Jordan Bardella,polymarket,26.0,
2026-01-31,Éric Zemmour,polymarket,1.4,
2026-01-31,Édouard Philippe,polymarket,12.5,
2026-01-31,David Lisnard,polymarket,4.3,
2026-01-31,Laurent Wauquiez,polymarket,0.5,
2026-01-31,Gabriel Attal,polymarket,5.2,
2026-01-31,Bruno Retailleau,polymarket,6.1,
2026-01-31,François Hollande,polymarket,1.7,
2026-01-31,Raphaël Glucksmann,polymarket,1.6,
2026-01-31,Jean-Luc Mélenchon,polymarket,12.0,
2026-01-31,Marine Tondelier,polymarket,0.8,
2026-01-31,Fabien Roussel,polymarket,0.1,
2026-01-31,Olivier Faure,polymarket,0.4,
2026-01-31,Dominique de Villepin,polymarket,8.6,
2026-01-31,Nicolas Dupont-Aignan,polymarket,0.1,
2026-01-31,Sarah Knafo,polymarket,4.0,
2026-01-31,Sébastien Lecornu,polymarket,2.9,
2026-02-01,Marine Le Pen,polymarket,11.0,
2026-02-01,Jordan Bardella,polymarket,26.0,
2026-02-01,Éric Zemmour,polymarket,1.2,
2026-02-01,Édouard Philippe,polymarket,14.0,
2026-02-01,David Lisnard,polymarket,3.6,
2026-02-01,Laurent Wauquiez,polymarket,0.5,
2026-02-01,Gabriel Attal,polymarket,6.0,
2026-02-01,Bruno Retailleau,polymarket,3.4,
2026-02-01,François Hollande,polymarket,2.0,
2026-02-01,Raphaël Glucksmann,polymarket,1.8,
2026-02-01,Jean-Luc Mélenchon,polymarket,11.0,
2026-02-01,Marine Tondelier,polymarket,0.8,
2026-02-01,Fabien Roussel,polymarket,0.1,
2026-02-01,Olivier Faure,polymarket,0.4,
2026-02-01,Dominique de Villepin,polymarket,7.8,
2026-02-01,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-01,Sarah Knafo,polymarket,3.4,
2026-02-01,Sébastien Lecornu,polymarket,2.1,
2026-02-02,Marine Le Pen,polymarket,10.5,
2026-02-02,Jordan Bardella,polymarket,27.0,
2026-02-02,Éric Zemmour,polymarket,1.3,
2026-02-02,Édouard Philippe,polymarket,14.0,
2026-02-02,David Lisnard,polymarket,3.6,
2026-02-02,Laurent Wauquiez,polymarket,0.5,
2026-02-02,Gabriel Attal,polymarket,4.9,
2026-02-02,Bruno Retailleau,polymarket,3.5,
2026-02-02,François Hollande,polymarket,1.8,
2026-02-02,Raphaël Glucksmann,polymarket,2.3,
2026-02-02,Jean-Luc Mélenchon,polymarket,11.0,
2026-02-02,Marine Tondelier,polymarket,0.7,
2026-02-02,Fabien Roussel,polymarket,0.1,
2026-02-02,Olivier Faure,polymarket,0.4,
2026-02-02,Dominique de Villepin,polymarket,6.8,
2026-02-02,Nicolas Dupont-Aignan,polymarket,0.2,
2026-02-02,Sarah Knafo,polymarket,3.4,
2026-02-02,Sébastien Lecornu,polymarket,2.2,
2026-02-03,Marine Le Pen,polymarket,11.0,
2026-02-03,Jordan Bardella,polymarket,30.0,
2026-02-03,Éric Zemmour,polymarket,1.4,
2026-02-03,Édouard Philippe,polymarket,14.5,
2026-02-03,David Lisnard,polymarket,3.6,
2026-02-03,Laurent Wauquiez,polymarket,0.4,
2026-02-03,Gabriel Attal,polymarket,5.0,
2026-02-03,Bruno Retailleau,polymarket,3.5,
2026-02-03,François Hollande,polymarket,2.1,
2026-02-03,Raphaël Glucksmann,polymarket,1.9,
2026-02-03,Jean-Luc Mélenchon,polymarket,10.5,
2026-02-03,Marine Tondelier,polymarket,0.7,
2026-02-03,Fabien Roussel,polymarket,0.1,
2026-02-03,Olivier Faure,polymarket,0.4,
2026-02-03,Dominique de Villepin,polymarket,6.5,
2026-02-03,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-03,Sarah Knafo,polymarket,2.9,
2026-02-03,Sébastien Lecornu,polymarket,2.1,
2026-02-04,Marine Le Pen,polymarket,10.5,
2026-02-04,Jordan Bardella,polymarket,28.5,
2026-02-04,Éric Zemmour,polymarket,1.2,
2026-02-04,Édouard Philippe,polymarket,13.5,
2026-02-04,David Lisnard,polymarket,3.6,
2026-02-04,Laurent Wauquiez,polymarket,0.5,
2026-02-04,Gabriel Attal,polymarket,6.0,
2026-02-04,Bruno Retailleau,polymarket,3.5,
2026-02-04,François Hollande,polymarket,2.0,
2026-02-04,Raphaël Glucksmann,polymarket,1.8,
2026-02-04,Jean-Luc Mélenchon,polymarket,11.0,
2026-02-04,Marine Tondelier,polymarket,0.7,
2026-02-04,Fabien Roussel,polymarket,0.1,
2026-02-04,Olivier Faure,polymarket,0.4,
2026-02-04,Dominique de Villepin,polymarket,6.3,
2026-02-04,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-04,Sarah Knafo,polymarket,2.8,
2026-02-04,Sébastien Lecornu,polymarket,2.5,
2026-02-05,Marine Le Pen,polymarket,8.5,
2026-02-05,Jordan Bardella,polymarket,29.0,
2026-02-05,Éric Zemmour,polymarket,1.3,
2026-02-05,Édouard Philippe,polymarket,15.0,
2026-02-05,David Lisnard,polymarket,4.8,
2026-02-05,Laurent Wauquiez,polymarket,0.5,
2026-02-05,Gabriel Attal,polymarket,5.2,
2026-02-05,Bruno Retailleau,polymarket,3.8,
2026-02-05,François Hollande,polymarket,2.1,
2026-02-05,Raphaël Glucksmann,polymarket,1.8,
2026-02-05,Jean-Luc Mélenchon,polymarket,10.5,
2026-02-05,Marine Tondelier,polymarket,0.7,
2026-02-05,Fabien Roussel,polymarket,0.1,
2026-02-05,Olivier Faure,polymarket,0.4,
2026-02-05,Dominique de Villepin,polymarket,7.8,
2026-02-05,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-05,Sarah Knafo,polymarket,3.1,
2026-02-05,Sébastien Lecornu,polymarket,2.9,
2026-02-06,Marine Le Pen,polymarket,9.5,
2026-02-06,Jordan Bardella,polymarket,31.5,
2026-02-06,Éric Zemmour,polymarket,1.3,
2026-02-06,Édouard Philippe,polymarket,13.5,
2026-02-06,David Lisnard,polymarket,3.6,
2026-02-06,Laurent Wauquiez,polymarket,0.4,
2026-02-06,Gabriel Attal,polymarket,5.5,
2026-02-06,Bruno Retailleau,polymarket,3.5,
2026-02-06,François Hollande,polymarket,1.8,
2026-02-06,Raphaël Glucksmann,polymarket,1.8,
2026-02-06,Jean-Luc Mélenchon,polymarket,10.5,
2026-02-06,Marine Tondelier,polymarket,0.7,
2026-02-06,Fabien Roussel,polymarket,0.1,
2026-02-06,Olivier Faure,polymarket,0.3,
2026-02-06,Dominique de Villepin,polymarket,7.3,
2026-02-06,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-06,Sarah Knafo,polymarket,2.9,
2026-02-06,Sébastien Lecornu,polymarket,2.6,
2026-02-07,Marine Le Pen,polymarket,7.5,
2026-02-07,Jordan Bardella,polymarket,32.5,
2026-02-07,Éric Zemmour,polymarket,1.1,
2026-02-07,Édouard Philippe,polymarket,14.0,
2026-02-07,David Lisnard,polymarket,3.9,
2026-02-07,Laurent Wauquiez,polymarket,0.4,
2026-02-07,Gabriel Attal,polymarket,5.6,
2026-02-07,Bruno Retailleau,polymarket,3.6,
2026-02-07,François Hollande,polymarket,1.8,
2026-02-07,Raphaël Glucksmann,polymarket,1.8,
2026-02-07,Jean-Luc Mélenchon,polymarket,10.5,
2026-02-07,Marine Tondelier,polymarket,0.5,
2026-02-07,Fabien Roussel,polymarket,0.1,
2026-02-07,Olivier Faure,polymarket,0.3,
2026-02-07,Dominique de Villepin,polymarket,7.1,
2026-02-07,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-07,Sarah Knafo,polymarket,3.0,
2026-02-07,Sébastien Lecornu,polymarket,3.6,
2026-02-08,Marine Le Pen,polymarket,7.0,
2026-02-08,Jordan Bardella,polymarket,27.5,
2026-02-08,Éric Zemmour,polymarket,1.1,
2026-02-08,Édouard Philippe,polymarket,15.5,
2026-02-08,David Lisnard,polymarket,4.7,
2026-02-08,Laurent Wauquiez,polymarket,0.4,
2026-02-08,Gabriel Attal,polymarket,5.9,
2026-02-08,Bruno Retailleau,polymarket,3.6,
2026-02-08,François Hollande,polymarket,1.9,
2026-02-08,Raphaël Glucksmann,polymarket,1.6,
2026-02-08,Jean-Luc Mélenchon,polymarket,10.5,
2026-02-08,Marine Tondelier,polymarket,0.6,
2026-02-08,Fabien Roussel,polymarket,0.2,
2026-02-08,Olivier Faure,polymarket,0.3,
2026-02-08,Dominique de Villepin,polymarket,8.1,
2026-02-08,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-08,Sarah Knafo,polymarket,3.0,
2026-02-08,Sébastien Lecornu,polymarket,3.2,
2026-02-09,Marine Le Pen,polymarket,7.0,
2026-02-09,Jordan Bardella,polymarket,29.5,
2026-02-09,Éric Zemmour,polymarket,1.1,
2026-02-09,Édouard Philippe,polymarket,15.0,
2026-02-09,David Lisnard,polymarket,3.8,
2026-02-09,Laurent Wauquiez,polymarket,0.4,
2026-02-09,Gabriel Attal,polymarket,5.5,
2026-02-09,Bruno Retailleau,polymarket,3.5,
2026-02-09,François Hollande,polymarket,1.7,
2026-02-09,Raphaël Glucksmann,polymarket,1.6,
2026-02-09,Jean-Luc Mélenchon,polymarket,11.0,
2026-02-09,Marine Tondelier,polymarket,0.6,
2026-02-09,Fabien Roussel,polymarket,0.2,
2026-02-09,Olivier Faure,polymarket,0.3,
2026-02-09,Dominique de Villepin,polymarket,7.8,
2026-02-09,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-09,Sarah Knafo,polymarket,3.8,
2026-02-09,Sébastien Lecornu,polymarket,3.4,
2026-02-10,Marine Le Pen,polymarket,8.5,
2026-02-10,Jordan Bardella,polymarket,28.5,
2026-02-10,Éric Zemmour,polymarket,1.1,
2026-02-10,Édouard Philippe,polymarket,14.0,
2026-02-10,David Lisnard,polymarket,3.2,
2026-02-10,Laurent Wauquiez,polymarket,0.4,
2026-02-10,Gabriel Attal,polymarket,5.2,
2026-02-10,Bruno Retailleau,polymarket,4.5,
2026-02-10,François Hollande,polymarket,1.6,
2026-02-10,Raphaël Glucksmann,polymarket,1.8,
2026-02-10,Jean-Luc Mélenchon,polymarket,11.5,
2026-02-10,Marine Tondelier,polymarket,0.5,
2026-02-10,Fabien Roussel,polymarket,0.2,
2026-02-10,Olivier Faure,polymarket,0.4,
2026-02-10,Dominique de Villepin,polymarket,7.6,
2026-02-10,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-10,Sarah Knafo,polymarket,3.6,
2026-02-10,Sébastien Lecornu,polymarket,3.1,
2026-02-11,Marine Le Pen,polymarket,7.5,
2026-02-11,Jordan Bardella,polymarket,29.5,
2026-02-11,Éric Zemmour,polymarket,1.1,
2026-02-11,Édouard Philippe,polymarket,13.5,
2026-02-11,David Lisnard,polymarket,3.2,
2026-02-11,Laurent Wauquiez,polymarket,0.4,
2026-02-11,Gabriel Attal,polymarket,6.1,
2026-02-11,Bruno Retailleau,polymarket,4.0,
2026-02-11,François Hollande,polymarket,1.6,
2026-02-11,Raphaël Glucksmann,polymarket,2.2,
2026-02-11,Jean-Luc Mélenchon,polymarket,10.5,
2026-02-11,Marine Tondelier,polymarket,0.5,
2026-02-11,Fabien Roussel,polymarket,0.1,
2026-02-11,Olivier Faure,polymarket,0.4,
2026-02-11,Dominique de Villepin,polymarket,6.8,
2026-02-11,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-11,Sarah Knafo,polymarket,2.9,
2026-02-11,Sébastien Lecornu,polymarket,3.1,
2026-02-12,Marine Le Pen,polymarket,7.5,
2026-02-12,Jordan Bardella,polymarket,28.5,
2026-02-12,Éric Zemmour,polymarket,1.1,
2026-02-12,Édouard Philippe,polymarket,13.5,
2026-02-12,David Lisnard,polymarket,2.9,
2026-02-12,Laurent Wauquiez,polymarket,0.4,
2026-02-12,Gabriel Attal,polymarket,6.1,
2026-02-12,Bruno Retailleau,polymarket,4.2,
2026-02-12,François Hollande,polymarket,1.8,
2026-02-12,Raphaël Glucksmann,polymarket,1.9,
2026-02-12,Jean-Luc Mélenchon,polymarket,11.0,
2026-02-12,Marine Tondelier,polymarket,0.4,
2026-02-12,Fabien Roussel,polymarket,0.1,
2026-02-12,Olivier Faure,polymarket,0.2,
2026-02-12,Dominique de Villepin,polymarket,6.7,
2026-02-12,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-12,Sarah Knafo,polymarket,5.0,
2026-02-12,Sébastien Lecornu,polymarket,2.8,
2026-02-13,Marine Le Pen,polymarket,7.5,
2026-02-13,Jordan Bardella,polymarket,28.5,
2026-02-13,Éric Zemmour,polymarket,1.1,
2026-02-13,Édouard Philippe,polymarket,14.0,
2026-02-13,David Lisnard,polymarket,2.5,
2026-02-13,Laurent Wauquiez,polymarket,0.4,
2026-02-13,Gabriel Attal,polymarket,5.0,
2026-02-13,Bruno Retailleau,polymarket,4.5,
2026-02-13,François Hollande,polymarket,1.6,
2026-02-13,Raphaël Glucksmann,polymarket,1.9,
2026-02-13,Jean-Luc Mélenchon,polymarket,10.5,
2026-02-13,Marine Tondelier,polymarket,0.4,
2026-02-13,Fabien Roussel,polymarket,0.1,
2026-02-13,Olivier Faure,polymarket,0.4,
2026-02-13,Dominique de Villepin,polymarket,7.0,
2026-02-13,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-13,Sarah Knafo,polymarket,3.8,
2026-02-13,Sébastien Lecornu,polymarket,2.6,
2026-02-14,Marine Le Pen,polymarket,7.5,
2026-02-14,Jordan Bardella,polymarket,28.5,
2026-02-14,Éric Zemmour,polymarket,1.1,
2026-02-14,Édouard Philippe,polymarket,16.0,
2026-02-14,David Lisnard,polymarket,2.4,
2026-02-14,Laurent Wauquiez,polymarket,0.4,
2026-02-14,Gabriel Attal,polymarket,5.2,
2026-02-14,Bruno Retailleau,polymarket,6.2,
2026-02-14,François Hollande,polymarket,1.6,
2026-02-14,Raphaël Glucksmann,polymarket,1.9,
2026-02-14,Jean-Luc Mélenchon,polymarket,9.5,
2026-02-14,Marine Tondelier,polymarket,0.4,
2026-02-14,Fabien Roussel,polymarket,0.1,
2026-02-14,Olivier Faure,polymarket,0.2,
2026-02-14,Dominique de Villepin,polymarket,6.3,
2026-02-14,Nicolas Dupont-Aignan,polymarket,0.1,
2026-02-14,Sarah Knafo,polymarket,3.2,
2026-02-14,Sébastien Lecornu,polymarket,2.4,
2026-02-15,Marine Le Pen,polymarket,8.5,
2026-02-15,Jordan Bardella,polymarket,28.5,
2026-02-15,Éric Zemmour,polymarket,1.1,
2026-02-15,Édouard Philippe,polymarket,13.5,
2026-02-15,David Lisnard,polymarket,1.8,
2026-02-15,Laurent Wauquiez,polymarket,0.4,
2026-02-15,Gabriel Attal,polymarket,5.7,
2026-02-15,Bruno Retailleau,polymarket,6.6,
2026-02-15,François Hollande,polymarket,1.7,
2026-02-15,Raphaël Glucksmann,polymarket,2.0,
2026-02-15,Jean-Luc Mélenchon,polymarket,9.5,
2026-02-15,Marine Tondelier,polymarket,0.4,
2026-02-15,Fabien Roussel,polymarket,0.2,
2026-02-15,Olivier Faure,polymarket,0.2,
2026-02-15,Dominique de Villepin,polymarket,6.2,
2026-02-15,Nicolas Dupont-Aignan,polymarket,0.2,
2026-02-15,Sarah Knafo,polymarket,4.9,
2026-02-15,Sébastien Lecornu,polymarket,2.8,
2026-02-16,Marine Le Pen,polymarket,8.5,
2026-02-16,Jordan Bardella,polymarket,28.5,
2026-02-16,Éric Zemmour,polymarket,0.9,
2026-02-16,Édouard Philippe,polymarket,13.5,
2026-02-16,David Lisnard,polymarket,2.2,
2026-02-16,Gabriel Attal,polymarket,5.5,
2026-02-16,Bruno Retailleau,polymarket,7.4,
2026-02-16,François Hollande,polymarket,2.3,
2026-02-16,Raphaël Glucksmann,polymarket,2.1,
2026-02-16,Jean-Luc Mélenchon,polymarket,9.5,
2026-02-16,Marine Tondelier,polymarket,0.4,
2026-02-16,Fabien Roussel,polymarket,0.2,
2026-02-16,Olivier Faure,polymarket,0.2,
2026-02-16,Dominique de Villepin,polymarket,7.6,
2026-02-16,Nicolas Dupont-Aignan,polymarket,0.2,
2026-02-16,Sarah Knafo,polymarket,4.0,
2026-02-16,Sébastien Lecornu,polymarket,2.2,
2026-02-17,Marine Le Pen,polymarket,8.5,
2026-02-17,Jordan Bardella,polymarket,28.5,
2026-02-17,Éric Zemmour,polymarket,0.9,
2026-02-17,Édouard Philippe,polymarket,13.5,
2026-02-17,David Lisnard,polymarket,2.9,
2026-02-17,Laurent Wauquiez,polymarket,0.4,
2026-02-17,Gabriel Attal,polymarket,5.1,
2026-02-17,Bruno Retailleau,polymarket,6.2,
2026-02-17,François Hollande,polymarket,1.8,
2026-02-17,Raphaël Glucksmann,polymarket,2.4,
2026-02-17,Jean-Luc Mélenchon,polymarket,10.5,
2026-02-17,Marine Tondelier,polymarket,0.4,
2026-02-17,Fabien Roussel,polymarket,0.2,
2026-02-17,Olivier Faure,polymarket,0.2,
2026-02-17,Dominique de Villepin,polymarket,7.2,
2026-02-17,Nicolas Dupont-Aignan,polymarket,0.2,
2026-02-17,Sarah Knafo,polymarket,3.8,
2026-02-17,Sébastien Lecornu,polymarket,1.9,
2026-02-18,Marine Le Pen,polymarket,9.5,
2026-02-18,Jordan Bardella,polymarket,28.5,
2026-02-18,Éric Zemmour,polymarket,1.1,
2026-02-18,Édouard Philippe,polymarket,13.5,
2026-02-18,David Lisnard,polymarket,2.7,
2026-02-18,Laurent Wauquiez,polymarket,0.4,
2026-02-18,Gabriel Attal,polymarket,5.0,
2026-02-18,Bruno Retailleau,polymarket,5.5,
2026-02-18,François Hollande,polymarket,2.5,
2026-02-18,Raphaël Glucksmann,polymarket,2.5,
2026-02-18,Jean-Luc Mélenchon,polymarket,10.5,
2026-02-18,Marine Tondelier,polymarket,0.4,
2026-02-18,Fabien Roussel,polymarket,0.2,
2026-02-18,Olivier Faure,polymarket,0.2,
2026-02-18,Dominique de Villepin,polymarket,6.7,
2026-02-18,Nicolas Dupont-Aignan,polymarket,0.2,
2026-02-18,Sarah Knafo,polymarket,2.9,
2026-02-18,Sébastien Lecornu,polymarket,1.8,
2026-02-19,Marine Le Pen,polymarket,9.5,
2026-02-19,Jordan Bardella,polymarket,27.5,
2026-02-19,Éric Zemmour,polymarket,0.9,
2026-02-19,Édouard Philippe,polymarket,15.5,
2026-02-19,David Lisnard,polymarket,2.2,
2026-02-19,Gabriel Attal,polymarket,4.7,
2026-02-19,Bruno Retailleau,polymarket,5.1,
2026-02-19,François Hollande,polymarket,2.6,
2026-02-19,Raphaël Glucksmann,polymarket,2.3,
2026-02-19,Jean-Luc Mélenchon,polymarket,10.5,
2026-02-19,Marine Tondelier,polymarket,0.4,
2026-02-19,Fabien Roussel,polymarket,0.2,
2026-02-19,Olivier Faure,polymarket,0.2,
2026-02-19,Dominique de Villepin,polymarket,6.6,
2026-02-19,Nicolas Dupont-Aignan,polymarket,0.2,
2026-02-19,Sarah Knafo,polymarket,3.0,
